IndustrYDescription,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1
Accommodation and food services,352.8,356.4,361.4,365.4,376.5,379.3,381.6,386.9,391.6,393.3,397.0,402.4,398.7,399.8,401.3,398.4,388.5,387.1,388.6,390.4,393.9,402.1,407.4,410.8,413.9,420.6,424.4,431.5,444.4,447.8,450.4,458.0,467.5,470.3,476.4,481.5,483.4,496.9,509.6,519.1,537.3,549.1,559.4,567.3,573.1,577.8,584.2,589.9,598.7,605.5,611.1,617.2,628.0,635.9,639.8,648.5,654.8,664.0,675.6,680.0,636.0,378.1,545.9,546.0,573.5
Air transportation,58.5,61.5,63.3,63.6,65.8,66.4,70.3,69.6,71.2,77.5,73.9,70.1,69.3,66.9,67.9,70.8,67.8,70.3,72.5,76.1,79.1,84.1,86.2,87.2,86.0,85.2,82.1,85.2,86.4,87.3,89.0,88.6,89.9,90.5,94.0,102.0,96.7,102.4,105.4,107.1,111.6,115.5,120.4,123.2,123.8,130.8,129.1,132.3,132.4,134.6,133.5,133.5,137.4,137.0,137.3,142.1,143.0,146.2,149.0,150.0,127.2,27.1,40.5,41.4,47.3
"Arts, entertainment, and recreation",118.9,121.1,123.8,125.1,128.8,130.5,130.0,132.6,135.4,136.3,138.3,139.8,140.4,141.8,143.5,147.0,144.2,143.3,145.4,145.6,148.2,151.4,153.1,156.3,155.5,158.2,161.0,158.5,167.6,170.1,172.0,175.3,174.5,175.2,177.7,182.2,185.9,188.8,191.3,190.5,190.7,192.4,194.0,196.8,201.3,204.0,210.1,212.5,211.8,213.6,220.9,219.1,221.1,230.7,231.2,231.9,234.3,236.3,240.4,243.5,227.3,98.2,137.1,150.2,157.8
Broadcasting and telecommunications,333.2,343.1,332.7,329.7,328.4,336.6,349.0,347.1,356.6,368.2,381.7,388.1,388.6,399.9,399.4,377.7,370.7,373.9,374.5,380.3,376.9,368.7,377.6,375.3,368.8,369.9,361.2,364.9,368.0,375.9,376.0,361.5,399.5,403.8,404.7,411.1,394.8,392.0,390.5,397.5,411.6,420.2,432.6,440.0,443.8,443.4,448.3,447.5,442.8,442.1,445.2,444.3,447.9,455.5,457.2,457.4,461.1,463.8,469.7,471.9,468.7,458.2,468.2,467.9,472.0
Computer and electronic products,209.7,208.1,213.6,213.7,228.1,222.0,220.9,225.4,223.2,227.0,231.1,231.9,229.7,232.5,234.7,231.6,223.1,219.4,222.5,229.8,233.2,237.8,241.0,247.3,237.5,237.3,235.8,237.9,239.3,240.4,241.0,241.0,246.1,242.5,244.1,243.5,244.5,246.7,255.3,258.2,265.1,268.1,267.2,268.9,266.5,265.7,267.2,271.4,274.4,275.3,280.7,289.1,289.2,295.2,295.7,299.5,303.3,304.6,299.5,308.3,306.8,300.5,315.2,320.9,332.9
Computer systems design and related services,131.3,133.6,137.0,137.7,145.4,146.5,149.8,154.1,160.4,164.3,170.0,173.6,175.8,180.9,183.7,185.0,185.9,187.2,189.9,192.7,195.7,198.5,206.2,210.8,215.7,225.0,227.2,230.1,237.2,250.3,258.9,262.7,257.4,252.2,252.7,257.3,261.3,262.1,269.1,271.3,276.4,282.9,287.2,292.6,298.7,303.0,304.5,312.5,316.8,323.5,327.4,331.4,338.8,348.0,356.5,360.0,374.3,378.1,377.3,377.4,378.1,361.2,365.2,371.1,378.0
Construction,628.5,643.7,664.2,670.8,698.8,698.5,691.6,699.5,715.1,722.0,719.6,704.6,668.2,652.2,640.1,635.1,596.8,569.2,558.0,538.7,519.4,527.7,527.7,525.7,510.9,522.2,529.1,535.5,548.3,551.7,552.0,561.6,571.5,579.0,594.3,605.4,615.5,630.0,644.0,658.1,673.1,689.7,703.0,713.9,730.8,738.6,748.9,769.2,785.3,788.1,801.0,816.9,835.4,845.1,851.7,860.5,880.1,887.4,897.7,905.5,914.6,853.7,899.5,922.5,940.4
"Data processing, internet publishing, and other information services",70.7,70.1,71.9,75.0,80.8,83.9,82.5,80.6,64.1,61.9,64.0,70.6,74.3,81.6,87.1,88.1,87.8,84.6,84.5,88.4,91.9,97.6,104.0,109.6,112.1,115.7,114.8,114.3,107.8,102.8,101.8,106.8,119.0,123.5,133.0,149.3,142.3,146.0,152.6,155.4,159.2,166.4,172.3,180.6,186.4,193.8,197.6,201.4,207.2,214.5,220.8,230.0,231.1,243.4,246.6,252.3,254.5,270.1,273.7,280.9,285.5,285.3,315.5,324.2,340.5
Fabricated metal products,120.7,121.8,122.7,124.2,126.3,126.2,126.2,128.5,132.2,134.7,136.3,135.9,132.6,133.5,133.2,133.1,121.7,115.8,115.1,116.9,115.1,119.7,122.1,122.7,124.6,126.0,127.5,130.6,135.8,137.5,138.0,139.2,140.9,141.0,141.9,142.8,140.4,142.8,145.8,146.7,148.0,147.9,147.3,146.2,146.6,145.6,145.3,146.2,146.4,148.3,149.9,152.3,155.3,157.2,157.9,159.3,161.0,160.6,161.5,161.7,161.0,138.9,151.5,155.1,160.5
Farms,106.9,107.1,104.4,99.4,92.7,94.7,97.0,100.7,115.0,110.2,112.6,124.9,130.1,126.5,113.3,108.0,97.5,98.1,102.3,114.5,108.1,112.7,120.5,129.1,154.9,147.2,154.3,152.7,152.2,147.9,145.2,150.5,187.8,194.0,191.1,165.6,165.3,180.6,163.5,163.2,147.5,147.6,149.6,144.9,132.2,134.8,131.5,124.0,147.0,143.9,134.0,135.4,142.8,146.0,134.3,137.9,131.9,133.7,138.6,140.1,149.8,107.5,134.7,158.7,172.0
Federal,543.7,547.9,553.1,560.4,568.1,572.2,578.4,583.4,589.8,597.8,607.3,612.8,619.7,627.6,636.6,645.0,650.0,660.9,666.9,675.5,687.2,699.9,699.7,703.0,708.8,712.1,713.6,714.5,715.1,714.8,714.2,711.5,706.5,704.1,698.4,706.3,710.9,713.7,717.5,721.2,726.7,729.4,733.2,735.8,738.0,740.8,745.4,749.9,755.1,758.7,764.6,771.5,779.8,787.0,793.9,798.7,805.6,809.8,816.6,822.2,828.2,837.7,850.5,853.0,860.1
"Federal Reserve banks, credit intermediation, and related activities",397.1,405.9,412.2,417.2,423.5,420.3,417.4,414.5,402.8,401.6,405.9,406.6,427.6,429.9,407.9,372.4,404.2,406.7,393.9,390.8,387.8,403.5,420.9,459.2,443.3,445.2,457.7,473.7,507.4,504.3,523.6,510.3,487.4,489.7,496.6,520.9,524.2,555.0,555.6,556.5,562.6,577.9,552.0,550.7,557.5,588.6,618.5,639.6,632.2,608.9,627.0,635.5,666.4,689.5,707.1,693.1,703.2,704.7,706.2,721.5,700.4,719.5,737.5,756.3,764.4
Finance and insurance,937.8,960.5,988.7,1007.8,1031.5,1025.2,1029.7,1050.4,1073.9,1044.9,1027.4,975.9,994.2,929.8,855.3,713.7,888.0,975.4,995.7,1007.3,1015.2,1012.5,984.6,1002.1,1013.8,1003.1,1034.5,1052.7,1126.1,1153.8,1184.5,1186.8,1109.3,1126.7,1143.9,1199.8,1228.6,1284.2,1298.2,1319.4,1352.2,1394.8,1351.8,1353.7,1371.0,1435.0,1494.3,1531.6,1500.9,1478.7,1520.7,1552.8,1597.0,1638.6,1672.9,1626.1,1649.8,1663.7,1656.5,1693.2,1663.9,1699.8,1748.3,1796.3,1805.4
Food and beverage stores,120.6,122.1,123.1,124.5,125.9,126.0,126.1,125.6,124.1,123.6,124.0,124.6,125.5,126.6,128.4,131.7,129.4,130.1,130.9,132.0,129.9,131.5,131.6,131.4,129.3,130.5,129.9,130.5,131.5,131.5,132.0,132.3,135.0,135.1,136.0,137.4,136.5,137.4,139.3,141.9,143.8,144.2,147.1,146.7,147.5,148.7,148.1,148.9,150.5,151.9,152.6,152.8,153.6,153.6,154.4,155.6,157.7,159.5,162.0,163.0,170.4,174.0,176.2,174.0,179.5
Food services and drinking places,245.8,248.2,251.5,254.8,262.5,264.1,265.4,268.3,270.0,270.2,271.7,274.6,272.4,274.6,277.9,279.5,278.6,280.1,282.7,283.5,287.0,290.6,293.1,295.2,295.7,299.5,301.7,306.2,318.1,319.3,321.4,327.3,332.9,334.6,338.9,342.6,344.9,355.7,364.9,371.4,383.6,392.3,399.9,407.4,413.9,418.5,424.1,428.4,434.3,439.1,443.2,447.3,453.7,458.1,463.2,466.2,471.2,478.5,486.8,490.0,461.3,305.3,437.2,436.8,456.3
"Funds, trusts, and other financial vehicles",23.4,23.6,23.7,23.0,22.1,21.2,20.7,20.7,20.9,21.7,23.2,23.8,28.0,25.2,20.7,15.9,16.6,14.6,15.0,17.5,16.3,16.8,16.8,16.2,14.1,13.2,12.4,12.5,13.6,12.8,13.2,12.3,10.9,11.2,12.5,15.5,17.8,21.5,22.0,21.0,19.2,18.3,16.1,15.8,16.3,18.1,19.6,20.8,20.5,20.3,24.0,25.0,28.5,30.2,31.1,28.6,28.3,29.5,29.6,30.2,29.4,30.2,32.8,33.7,33.9
