,Ticker,Price
0,GME,162.52
1,GBOX,7.52
2,SAVA,122.57
3,OCGN,7.42
4,MOXC,6.72
5,MARA,32.88
6,ANVS,39.81
7,UGRO,11.62
8,VTNR,8.11
9,AMC,33.47
10,DAC,71.07
11,NTZ,16.95
12,SUNW,8.19
13,BITF,6.78
14,SM,17.91
15,ZDGE,15.85
16,FTSI,21.61
17,RIOT,35.81
18,GSM,5.85
19,SGOC,5.42
20,WFRD,15.06
21,KOSS,18.65
22,GLSI,40.50
23,CDEV,4.68
24,BNGO,5.69
25,MRIN,5.18
26,BTU,13.44
27,AMTX,9.78
28,GEVO,5.24
29,NEGG,18.36
30,MVIS,14.12
31,PLL,64.14
32,CPE,30.22
33,JILL,21.15
34,MNMD,3.06
35,HVBT,3.04
36,MKTY,7.49
37,ZOM,0.48
38,RHE,7.49
39,UAN,59.33
40,RENN,10.10
41,ESEA,21.06
42,TKAT,6.17
43,SLHG,3.42
44,BGFV,22.16
45,LPI,43.54
46,ACRS,14.72
47,OEG,3.15
48,EXPR,6.02
49,FAT,10.41
50,SENS,3.03
51,BBW,14.46
52,NTLA,155.39
53,XYF,5.74
54,PACB,29.47
55,ATY,8.54
56,HYRE,9.79
57,NAKD,0.52
58,MMAT,3.19
59,PFMT,4.58
60,CRIS,7.55
61,RCAT,2.92
62,ASXC,2.19
63,IDT,55.91
64,RETL,226.33
65,TTI,3.16
66,JAGX,1.24
67,LIVE,26.86
68,DDS,196.21
69,HUT,6.56
70,ATOS,3.22
71,PRTY,6.77
72,STKS,11.00
73,STIM,8.46
74,ACY,33.81
75,EDRY,26.52
76,AMRS,12.95
77,NRGU,117.00
78,SI,111.70
79,AMR,36.53
80,REAX,2.04
81,ALTO,4.83
82,SIG,68.98
83,FORA,10.37
84,KIRK,19.90
85,MOGO,6.06
86,GRWG,31.49
87,SSNT,7.52
88,CHS,6.12
89,SBOW,17.02
90,AVXL,19.55
91,SUP,8.32
92,ALTM,67.61
93,HMHC,14.20
94,GTBP,10.01
95,CSU,29.64
96,UUU,5.55
97,CBAT,3.20
98,SPI,5.18
99,XXII,4.03
100,FLL,8.55
101,IKNX,24.50
102,RIG,3.30
103,BLNK,32.50
104,SPLP,34.65
105,VTGN,2.77
106,REI,2.36
107,SOL,6.84
108,APEN,8.90
109,NOTV,29.14
110,DDD,30.14
111,SNDL,0.75
112,JYNT,95.81
113,IHT,4.46
114,PEI,2.02
115,HOVNP,18.35
116,BWMX,38.15
117,XPEL,75.55
118,RICK,67.49
119,CELH,72.63
120,EYES,3.64
121,UONEK,5.65
122,TELL,2.87
123,POLA,6.50
124,AMPY,3.80
125,OMI,38.63
126,ASPN,35.18
127,KOPN,5.36
128,TWI,9.13
129,QRHC,6.08
130,CLPT,17.70
131,SESN,2.11
132,RRD,5.76
133,PLXP,17.05
134,GDEN,47.47
135,GSAT,1.41
136,ORMP,17.68
137,AR,12.61
138,GTX,7.36
139,ATLC,45.86
140,MCRB,6.65
141,MTDR,27.60
142,ENTX,5.40
143,NOG,16.44
144,RUBY,24.50
145,HIBL,65.39
146,PDSB,10.65
147,MGNI,29.09
148,APPS,54.92
149,RFP,11.36
150,CTRN,71.92
151,LXU,9.21
152,PRTA,58.45
153,CGA,8.56
154,NMG,6.88
155,BXC,58.27
156,ESTA,68.15
157,LKCO,1.27
158,AMEH,76.54
159,NCTY,14.79
160,LODE,3.20
161,WLMS,4.81
162,DTEA,3.87
163,AVID,27.68
164,ATNF,7.77
165,SCKT,6.49
166,UPST,203.29
167,BBQ,13.00
168,PLCE,102.75
169,KXIN,2.96
170,SGRY,46.79
171,EPIX,11.92
172,CPSH,5.86
173,NNDM,5.78
174,RFL,49.52
175,FUTU,100.60
176,OAS,87.61
177,INOD,7.99
178,DPST,210.14
179,FINV,6.07
180,UXIN,3.21
181,BNKU,59.39
182,LE,42.42
183,CEIX,22.42
184,SLS,10.07
185,MSTR,728.00
186,CYH,12.21
187,BNED,7.47
188,VUZI,12.22
189,EVC,7.27
190,HOV,100.70
191,OCX,4.48
192,ORGO,15.09
193,TGA,1.61
194,LQDT,23.75
195,GBR,4.18
196,GUSH,64.56
197,AMPG,3.77
198,SPWR,22.70
199,NM,3.58
200,BEAM,101.02
201,XELA,2.66
202,EXPI,49.25
203,SMID,19.00
204,NBR,76.87
205,CLSK,13.92
206,SYPR,3.18
207,RAIL,5.21
208,GP,15.26
209,VRTV,83.91
210,FCEL,6.14
211,AVGR,0.92
212,SLCA,9.42
213,AINC,16.62
214,HBP,6.06
215,BCRX,16.15
216,ESTE,7.83
217,NTP,24.05
218,SGMS,69.89
219,RNGR,7.15
220,CMBM,37.05
221,UPWK,42.57
222,GCI,5.79
223,NR,2.32
224,LEDS,7.54
225,USWS,0.82
226,CELC,21.32
227,RVLV,60.09
228,DEN,67.99
229,SLNG,6.82
230,CLDX,43.72
231,GRIN,11.32
232,EGLX,4.90
233,CLSD,5.69
234,ANF,37.54
235,TIGR,16.07
236,NMM,25.50
237,HIMX,13.52
238,RCON,3.06
239,HNRG,2.34
240,LDL,61.70
241,TGLS,22.43
242,BOOT,86.74
243,CSSE,21.95
244,ALF,7.19
245,HITI,7.31
246,EVRI,23.51
247,CHEK,1.08
248,TUEM,4.40
249,VLRS,19.80
250,SEEL,2.01
251,SD,8.76
252,FRSX,3.32
253,CVGI,9.39
254,SMLP,34.87
255,OII,12.27
256,OLN,48.91
257,CUTR,49.72
258,RMBL,35.75
259,CLF,25.84
260,FLGT,94.21
261,SCR,33.20
262,DBRG,7.02
263,VVPR,5.96
264,BLIN,4.69
265,GSL,19.26
266,SRL,12.18
267,HIBB,87.42
268,UAMY,0.94
269,OVV,24.26
270,WOW,20.47
271,MRNA,389.78
272,SID,8.12
273,USIO,5.45
274,MVO,6.40
275,NIO,41.03
276,CTHR,2.69
277,OTLK,2.40
278,GCO,58.67
279,VOLT,4.86
280,EH,24.18
