,Ticker,QPerf
0,GME,1.63%
1,GBOX,-9.07%
2,SAVA,199.54%
3,OCGN,-15.20%
4,MOXC,-38.01%
5,MARA,42.46%
6,ANVS,64.37%
7,UGRO,54.73%
8,VTNR,322.40%
9,AMC,157.86%
10,DAC,22.18%
11,NTZ,11.71%
12,SUNW,1.99%
13,BITF,27.20%
14,SM,1.53%
15,ZDGE,43.83%
16,FTSI,-18.05%
17,RIOT,37.62%
18,GSM,34.17%
19,SGOC,234.57%
20,WFRD,28.17%
21,KOSS,0.54%
22,GLSI,22.91%
23,CDEV,9.60%
24,BNGO,5.37%
25,MRIN,267.38%
26,BTU,106.77%
27,AMTX,4.15%
28,GEVO,-11.19%
29,NEGG,158.96%
30,MVIS,0.57%
31,PLL,9.89%
32,CPE,-17.68%
33,JILL,71.95%
34,MNMD,-5.26%
35,HVBT,5.92%
36,MKTY,-5.07%
37,ZOM,-36.09%
38,RHE,-49.70%
39,UAN,12.01%
40,RENN,-15.83%
41,ESEA,39.75%
42,TKAT,-71.30%
43,SLHG,-45.20%
44,BGFV,-21.17%
45,LPI,4.46%
46,ACRS,-30.53%
47,OEG,-4.55%
48,EXPR,86.38%
49,FAT,12.18%
50,SENS,57.81%
51,BBW,57.00%
52,NTLA,131.79%
53,XYF,43.14%
54,PACB,25.08%
55,ATY,-7.07%
56,HYRE,-24.17%
57,NAKD,-8.17%
58,MMAT,-16.93%
59,PFMT,118.10%
60,CRIS,-44.36%
61,RCAT,-7.01%
62,ASXC,28.82%
63,IDT,116.62%
64,RETL,3.87%
65,TTI,-0.63%
66,JAGX,-2.36%
67,LIVE,-31.91%
68,DDS,56.53%
69,HUT,42.29%
70,ATOS,11.03%
71,PRTY,-28.28%
72,STKS,3.68%
73,STIM,-33.80%
74,ACY,290.42%
75,EDRY,97.32%
76,AMRS,10.97%
77,NRGU,-28.09%
78,SI,19.73%
79,AMR,162.62%
80,REAX,30.77%
81,ALTO,-6.76%
82,SIG,8.70%
83,FORA,10.44%
84,KIRK,-28.83%
85,MOGO,-18.33%
86,GRWG,-21.14%
87,SSNT,19.17%
88,CHS,45.37%
89,SBOW,17.14%
90,AVXL,76.44%
91,SUP,27.41%
92,ALTM,6.07%
93,HMHC,50.26%
94,GTBP,-18.75%
95,CSU,-41.31%
96,UUU,6.53%
97,CBAT,-10.11%
98,SPI,0.39%
99,XXII,3.07%
100,FLL,-5.63%
101,IKNX,173.74%
102,RIG,-17.91%
103,BLNK,8.51%
104,SPLP,59.90%
105,VTGN,29.44%
106,REI,7.76%
107,SOL,-8.92%
108,APEN,29.74%
109,NOTV,25.93%
110,DDD,34.98%
111,SNDL,6.14%
112,JYNT,90.06%
113,IHT,-33.73%
114,PEI,10.99%
115,HOVNP,-9.99%
116,BWMX,-14.73%
117,XPEL,0.47%
118,RICK,-13.01%
119,CELH,34.13%
120,EYES,-28.49%
121,UONEK,79.94%
122,TELL,29.86%
123,POLA,-28.88%
124,AMPY,22.19%
125,OMI,21.33%
126,ASPN,94.58%
127,KOPN,-17.92%
128,TWI,-11.10%
129,QRHC,85.37%
130,CLPT,-2.10%
131,SESN,-9.83%
132,RRD,30.02%
133,PLXP,54.02%
134,GDEN,15.19%
135,GSAT,23.68%
136,ORMP,71.65%
137,AR,6.50%
138,GTX,20.85%
139,ATLC,54.20%
140,MCRB,-70.50%
141,MTDR,-7.75%
142,ENTX,84.30%
143,NOG,3.27%
144,RUBY,-4.11%
145,HIBL,-7.78%
146,PDSB,123.74%
147,MGNI,16.41%
148,APPS,-7.09%
149,RFP,-17.69%
150,CTRN,-26.93%
151,LXU,47.83%
152,PRTA,154.35%
153,CGA,-44.74%
154,NMG,-41.71%
155,BXC,8.57%
156,ESTA,-2.00%
157,LKCO,4.96%
158,AMEH,147.70%
159,NCTY,-3.90%
160,LODE,1.27%
161,WLMS,1.91%
162,DTEA,12.50%
163,AVID,1.17%
164,ATNF,-3.36%
165,SCKT,29.28%
166,UPST,96.68%
167,BBQ,15.04%
168,PLCE,32.34%
169,KXIN,37.04%
170,SGRY,-10.24%
171,EPIX,-59.40%
172,CPSH,-2.66%
173,NNDM,-7.22%
174,RFL,14.26%
175,FUTU,-15.38%
176,OAS,27.53%
177,INOD,27.84%
178,DPST,-24.58%
179,FINV,-11.26%
180,UXIN,17.58%
181,BNKU,0.17%
182,LE,89.21%
183,CEIX,70.49%
184,ICON,61.54%
185,SLS,23.56%
186,MSTR,39.65%
187,CYH,-13.65%
188,BNED,10.83%
189,VUZI,-22.17%
190,EVC,85.93%
191,HOV,-15.14%
192,OCX,15.02%
193,ORGO,-19.56%
194,TGA,2.55%
195,LQDT,-12.65%
196,GBR,2.45%
197,GUSH,-16.77%
198,AMPG,-3.08%
199,SPWR,2.07%
200,NM,-56.34%
201,BEAM,40.46%
202,XELA,66.77%
203,EXPI,85.15%
204,SMID,32.50%
205,NBR,-22.73%
206,CLSK,-11.28%
207,SYPR,1.92%
208,RAIL,-19.10%
209,GP,0.93%
210,VRTV,73.33%
211,FCEL,-20.77%
212,AVGR,-4.11%
213,SLCA,-18.72%
214,AINC,61.36%
215,HBP,-3.81%
216,BCRX,25.78%
217,ESTE,-16.97%
218,NTP,16.07%
219,SGMS,19.59%
220,RNGR,16.26%
221,CMBM,-24.12%
222,UPWK,6.45%
223,GCI,11.13%
224,NR,-29.48%
225,LEDS,-10.02%
226,USWS,5.01%
227,CELC,-20.77%
228,RVLV,27.26%
229,DEN,31.38%
230,SLNG,-12.94%
231,CLDX,61.39%
232,LB,18.17%
233,GRIN,50.73%
234,EGLX,-23.32%
235,CLSD,139.08%
236,ANF,-9.08%
237,TIGR,-4.29%
238,NMM,-15.56%
239,HIMX,22.13%
240,RCON,-68.13%
241,HNRG,12.50%
242,LDL,64.14%
243,TGLS,36.52%
244,BOOT,10.75%
245,CSSE,-36.96%
246,ALF,109.62%
247,HITI,-9.34%
248,EVRI,31.56%
249,CHEK,-18.80%
250,TUEM,31.34%
251,VLRS,10.00%
252,SEEL,-61.27%
253,SD,72.78%
254,FRSX,-4.05%
255,CVGI,-23.10%
256,SMLP,48.13%
257,OII,-18.31%
258,OLN,4.53%
259,CUTR,66.79%
260,RMBL,0.36%
261,CLF,32.44%
262,FLGT,33.94%
263,SCR,134.79%
264,DBRG,7.67%
265,VVPR,-7.74%
266,BLIN,87.60%
267,GSL,25.39%
268,SRL,-16.46%
269,HIBB,6.58%
270,UAMY,26.66%
271,OVV,-7.26%
272,WOW,29.23%
273,MRNA,141.53%
274,SID,-8.35%
275,USIO,0.74%
276,MVO,8.66%
